id,province,zone,candidate_no,title,first_name,last_name,party,score
1,กระบี่,1,4,นาย,อาคม,เอ่งฉ้วน,ประชาธิปัตย์,63783
2,กระบี่,1,9,นาย,สฤษฎ์พงษ์,เกี่ยวข้อง,ไทยรักไทย,30581
3,กระบี่,1,11,นาย,อริษฎร์,จิรเดชตระกูล,มหาชน,3177
4,กระบี่,2,4,นาย,พิเชษฐ,พันธุ์วิชาติกุล,ประชาธิปัตย์,67022
5,กระบี่,2,9,นาย,ดำรงค์,กิตติธรกุล,ไทยรักไทย,32594
6,กรุงเทพมหานคร,1,4,นาง,เจิมมาศ,จึงเลิศศิริ,ประชาธิปัตย์,32926
7,กรุงเทพมหานคร,1,9,นาย,ศิริ,หวังบุญเกิด,ไทยรักไทย,26131
8,กรุงเทพมหานคร,1,1,นาย,สุวิทย์,จารึกเสถียร,ชาติไทย,2075
9,กรุงเทพมหานคร,1,11,นางสาว,จิรภา,แสนเกษม,มหาชน,1193
10,กรุงเทพมหานคร,1,5,นาย,ประสพชัย,ชโลปถัมภ์,ประชาชนไทย,102
11,กรุงเทพมหานคร,2,9,นาย,กฤษฎา,สัจจกุล,ไทยรักไทย,37493
12,กรุงเทพมหานคร,2,4,นาง,สุภัคสิริ,หฤษฎางค์กูร,ประชาธิปัตย์,14071
13,กรุงเทพมหานคร,2,1,นาย,อรัญ,พันธุมจินดา,ชาติไทย,3015
14,กรุงเทพมหานคร,2,11,นาย,พิชัย,สิริรัตนพลกุล,มหาชน,1164
15,กรุงเทพมหานคร,2,5,นาย,สืบสันต์,สืบสหการ,ประชาชนไทย,129
16,กรุงเทพมหานคร,3,9,นาง,ลลิตา,ฤกษ์สำราญ,ไทยรักไทย,47376
17,กรุงเทพมหานคร,3,4,นาย,ประพันธ์,คูณมี,ประชาธิปัตย์,23885
18,กรุงเทพมหานคร,3,1,นาย,ฉัตรชัย,นาคอนุรักษ์,ชาติไทย,3217
19,กรุงเทพมหานคร,3,11,นาย,วิภาส,ทองสุทธิ์,มหาชน,1191
20,กรุงเทพมหานคร,3,5,นาย,จรัล,สถิตปรัชญากุล,ประชาชนไทย,225
21,กรุงเทพมหานคร,4,9,ร้อยเอก,รชฏ,พิสิษฐบรรณกร,ไทยรักไทย,29699
22,กรุงเทพมหานคร,4,4,นาย,พุทธิพงษ์,ปุณณกันต์,ประชาธิปัตย์,27888
23,กรุงเทพมหานคร,4,1,นาย,กฤษฎา,อินทามระ,ชาติไทย,1663
24,กรุงเทพมหานคร,4,11,นาย,พจน์,ลักษณสมพงศ์,มหาชน,741
25,กรุงเทพมหานคร,4,5,นาย,กฤตย์,ธารสุนทร,ประชาชนไทย,79
26,กรุงเทพมหานคร,5,9,นาย,ประจวบ,อึ๊งภากรณ์,ไทยรักไทย,23236
27,กรุงเทพมหานคร,5,4,นาย,กอร์ปศักดิ์,สภาวสุ,ประชาธิปัตย์,20456
28,กรุงเทพมหานคร,5,1,นางสาว,ปอรรัชม์,ยอดเณร,ชาติไทย,2732
29,กรุงเทพมหานคร,5,11,นางสาว,ชมพูนุท,ชายุตพงศ์,มหาชน,374
30,กรุงเทพมหานคร,6,4,หม่อมหลวง,อภิมงคล,โสณกุล,ประชาธิปัตย์,34931
31,กรุงเทพมหานคร,6,9,นาง,อรทัย,ฐานะจาโร,ไทยรักไทย,27271
32,กรุงเทพมหานคร,6,1,นาย,ธรรณม์ชัย,รุ่งจิรโรจน์,ชาติไทย,1559
33,กรุงเทพมหานคร,6,11,นาย,ดำรงศักดิ์,ธารดำรงค์,มหาชน,731
34,กรุงเทพมหานคร,7,4,นาย,กรณ์,จาติกวณิช,ประชาธิปัตย์,36010
35,กรุงเทพมหานคร,7,9,นาย,ดนุพร,ปุณณกันต์,ไทยรักไทย,29613
36,กรุงเทพมหานคร,7,1,นางสาว,ดวงดาว,รอบคอบ,ชาติไทย,1509
37,กรุงเทพมหานคร,7,11,นาย,ณัฐพัชร์,โชติวรวัฒน์,มหาชน,363
38,กรุงเทพมหานคร,8,9,นาย,พงษ์พิสุทธิ์,จินตโสภณ,ไทยรักไทย,25089
39,กรุงเทพมหานคร,8,4,นาย,สมเกียรติ,ฉันทวานิช,ประชาธิปัตย์,24123
40,กรุงเทพมหานคร,8,1,นาย,ชัยยุทธ,วงศ์พิภพมงคล,ชาติไทย,1070
41,กรุงเทพมหานคร,9,9,นาวาอากาศตรี,ศิธา,ทิวารี,ไทยรักไทย,30342
