id,province,zone,candidate_no,title,first_name,last_name,party,score
1,กระบี่,1,18,นาย,สาคร,เกี่ยวข้อง,ประชาธิปัตย์,44346
2,กระบี่,1,2,นาย,แสงชัย,วสุนธรา,พลังประชารัฐ,30381
3,กระบี่,1,15,นาย,ยุทธนา,อ่าวลึกน้อย,อนาคตใหม่,17783
4,กระบี่,1,16,นาย,ทวีเกียรติ,ใจดี,ประชาชาติ,8484
5,กระบี่,1,10,ว่าที่พันตรี,กิตติศักดิ์,กิตติสิทโธ,ภูมิใจไทย,4784
6,กระบี่,1,5,นาย,วศิน,สิริเกียรติกุล,เสรีรวมไทย,3474
7,กระบี่,1,11,นาย,จักรพรรดิ,สุคนธกนิษฐ,รวมพลังประชาชาติไทย,2032
8,กระบี่,1,8,นาง,วิชญาดา,บุญฤทธิ์,แทนคุณแผ่นดิน,1986
9,กระบี่,1,24,นางสาว,วดี,ชัยภักดี,เศรษฐกิจใหม่,1596
10,กระบี่,1,7,นาย,ไชยา,ดำดี,ชาติไทยพัฒนา,1128
11,กระบี่,1,17,นาย,ไพบูลย์,เกกินะ,เพื่อชาติ,942
12,กระบี่,1,25,นาย,มนตรี,ขวัญเดือน,กรีน,714
13,กระบี่,1,4,นาย,สมคิด,แซ่ฮ่อ,ประชาธิปไตยใหม่,672
14,กระบี่,1,22,นาย,ธนพัฒน์,บุญญาธิการ,พลังไทยรักไทย,634
15,กระบี่,1,1,นาย,วรวงค์,ระฆังทอง,ประชาภิวัฒน์,623
16,กระบี่,1,28,นาย,สมคิด,สมทรง,พลังสังคม,572
17,กระบี่,1,19,นาย,สมใจ,นวลนุ่น,รักษ์ผืนป่าประเทศไทย,455
18,กระบี่,1,30,นางสาว,อินท์วาริน,สายเส็น,ความหวังใหม่,452
19,กระบี่,1,14,นาง,วาสนา,แซ่ฉั่ว,พลังชาติไทย,424
20,กระบี่,1,29,นาย,ตรีภพ,เพ่งกิจ,ภราดรภาพ,415
21,กระบี่,1,21,นาย,พิทักษ์,ภารา,ถิ่นกาขาวชาววิไล,401
22,กระบี่,1,26,นาย,เลิศศักดิ์,ละมุลสุข,พลังไทยรักชาติ,389
23,กระบี่,1,13,นาย,สุทัศ,แก้วแสวง,พลังท้องถิ่นไท,374
24,กระบี่,1,27,นาย,ยาซีน,งามทรัพย์,ไทยศรีวิไลย์,313
25,กระบี่,1,9,ร้อยตำรวจเอก,นิตินัย,พรหมเจริญ,พลังธรรมใหม่,289
26,กระบี่,1,6,นาย,จุรุพงค์,โชคไพศาล,ชาติพัฒนา,273
27,กระบี่,1,32,นาย,มู่หำหมัด,หมักหมัน,ไทรักธรรม,272
28,กระบี่,1,12,พันตำรวจโท,สมมาตร,เกลี้ยงสิน,ประชานิยม,272
29,กระบี่,1,33,นาย,ศราวุธ,ผิวดี,คลองไทย,116
30,กระบี่,1,20,นาย,รุ่งโรจน์,ศรีนวลละออง,ครูไทยเพื่อประชาชน,108
31,กระบี่,1,23,นาย,เชาวลิต,สังคะสิน,เพื่อแผ่นดิน,93
32,กระบี่,1,31,นางสาว,เครือจรรย์,ชอบศิลป์,ประชาชนปฏิรูป,76
33,กระบี่,1,3,นาย,สมพร,จันทร์อ่อน,ไทยรักษาชาติ,0
34,กระบี่,2,3,นาย,สฤษฏ์พงษ์,เกี่ยวข้อง,ภูมิใจไทย,41978
