province_id,code_en,code_th,name_th,name_en,region_id,region_th
81,KBI,กบ,กระบี่,Krabi,4,ใต้
10,BKK,กทม,กรุงเทพมหานคร,Bangkok,3,กลาง
71,KRI,กจ,กาญจนบุรี,Kanchanaburi,3,กลาง
46,KSN,กส,กาฬสินธุ์,Kalasin,2,อีสาน
62,KPT,กพ,กำแพงเพชร,KamphaengPhet,1,เหนือ
40,KKN,ขก,ขอนแก่น,KhonKaen,2,อีสาน
22,CTI,จบ,จันทบุรี,Chanthaburi,3,กลาง
24,CCO,ฉช,ฉะเชิงเทรา,Chachoengsao,3,กลาง
20,CBI,ชบ,ชลบุรี,ChonBuri,3,กลาง
18,CNT,ชน,ชัยนาท,ChaiNat,3,กลาง
36,CPM,ชย,ชัยภูมิ,Chaiyaphum,2,อีสาน
86,CPN,ชพ,ชุมพร,Chumphon,4,ใต้
57,CRI,ชร,เชียงราย,ChiangRai,1,เหนือ
50,CMI,ชม,เชียงใหม่,ChiangMai,1,เหนือ
92,TRG,ตง,ตรัง,Trang,4,ใต้
23,TRT,ตร,ตราด,Trat,3,กลาง
63,TAK,ตก,ตาก,Tak,1,เหนือ
26,NYK,นย,นครนายก,NakhonNayok,3,กลาง
73,NPT,นฐ,นครปฐม,NakhonPathom,3,กลาง
48,NPM,นพ,นครพนม,NakhonPhanom,2,อีสาน
30,NMA,นม,นครราชสีมา,NakhonRatchasima,2,อีสาน
80,NST,นศ,นครศรีธรรมราช,NakhonSiThammarat,4,ใต้
60,NSN,นว,นครสวรรค์,NakhonSawan,1,เหนือ
12,NBI,นบ,นนทบุรี,Nonthaburi,3,กลาง
96,NWT,นธ,นราธิวาส,Narathiwat,4,ใต้
55,NAN,นน,น่าน,Nan,1,เหนือ
38,BKN,บก,บึงกาฬ,BeungKan,2,อีสาน
31,BRM,บร,บุรีรัมย์,BuriRam,2,อีสาน
13,PTE,ปท,ปทุมธานี,PathumThani,3,กลาง
77,PKN,ปข,ประจวบคีรีขันธ์,PrachuapKhiriKhan,3,กลาง
25,PRI,ปจ,ปราจีนบุรี,PrachinBuri,3,กลาง
94,PTN,ปน,ปัตตานี,Pattani,4,ใต้
14,AYA,อย,พระนครศรีอยุธยา,PhraNakhonSiAyutthaya,3,กลาง
56,PYO,พย,พะเยา,Phayao,1,เหนือ
82,PNA,พง,พังงา,Phang-nga,4,ใต้
93,PLG,พท,พัทลุง,Phatthalung,4,ใต้
66,PCT,พจ,พิจิตร,Phichit,1,เหนือ
65,PLK,พล,พิษณุโลก,Phitsanulok,1,เหนือ
76,PBI,พบ,เพชรบุรี,Phetchaburi,3,กลาง
67,PNB,พช,เพชรบูรณ์,Phetchabun,1,เหนือ
54,PRE,พร,แพร่,Phrae,1,เหนือ
83,PKT,ภก,ภูเก็ต,Phuket,4,ใต้
44,MKM,มค,มหาสารคาม,MahaSarakham,2,อีสาน
49,MDH,มห,มุกดาหาร,Mukdahan,2,อีสาน
58,MSN,มส,แม่ฮ่องสอน,MaeHongSon,1,เหนือ
35,YST,ยส,ยโสธร,Yasothon,2,อีสาน
95,YLA,ยล,ยะลา,Yala,4,ใต้
45,RET,รอ,ร้อยเอ็ด,RoiEt,2,อีสาน
85,RNG,รน,ระนอง,Ranong,4,ใต้
21,RYG,รย,ระยอง,Rayong,3,กลาง
70,RBR,รบ,ราชบุรี,Ratchaburi,3,กลาง
16,LRI,ลบ,ลพบุรี,LopBuri,3,กลาง
52,LPG,ลป,ลำปาง,Lampang,1,เหนือ
51,LPN,ลพ,ลำพูน,Lamphun,1,เหนือ
42,LEI,ลย,เลย,Loei,2,อีสาน
33,SSK,ศก,ศรีสะเกษ,SiSaKet,2,อีสาน
47,SNK,สน,สกลนคร,SakonNakhon,2,อีสาน
90,SKA,สข,สงขลา,Songkhla,4,ใต้
91,STN,สต,สตูล,Satun,4,ใต้
11,SPK,สป,สมุทรปราการ,SamutPrakan,3,กลาง
75,SKM,สส,สมุทรสงคราม,SamutSongkhram,3,กลาง
74,SKN,สค,สมุทรสาคร,SamutSakhon,3,กลาง
27,SKW,สก,สระแก้ว,SaKaeo,3,กลาง
19,SRI,สบ,สระบุรี,Saraburi,3,กลาง
17,SBR,สห,สิงห์บุรี,SingBuri,3,กลาง
64,STI,สท,สุโขทัย,Sukhothai,1,เหนือ
72,SPB,สพ,สุพรรณบุรี,SuphanBuri,3,กลาง
84,SNI,สฎ,สุราษฎร์ธานี,SuratThani,4,ใต้
32,SRN,สร,สุรินทร์,Surin,2,อีสาน
43,NKI,นค,หนองคาย,NongKhai,2,อีสาน
39,NBP,นภ,หนองบัวลำภู,NongBuaLamPhu,2,อีสาน
15,ATG,อท,อ่างทอง,AngThong,3,กลาง
37,ACR,อจ,อำนาจเจริญ,AmnatCharoen,2,อีสาน
41,UDN,อด,อุดรธานี,UdonThani,2,อีสาน
53,UTT,อต,อุตรดิตถ์,Uttaradit,1,เหนือ
61,UTI,อน,อุทัยธานี,UthaiThani,3,กลาง
34,UBN,อบ,อุบลราชธานี,UbonRatchathani,2,อีสาน
